# GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1 中的 order_id 为工单编号，修改工单编号便可以查看对应的工单详情
GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1
Host: twaudit.hngsetc.com
{
  "code": {
    "code": "0",
    "msg": "操作成功",
    "ok": true
  },
  "result": {
    "labelVo": {
      "pass_id": "013701250523630026557320260422012016",
      "vehicle_no": "湘A91230D_5",
      "ex_vehicle_no": null,
      "etc_no": null,
      "en_time": "2026-04-22 01:20:16",
      "en_station_name": "湖南学士站",
      "ex_time": "2026-04-22 03:21:38",
      "ex_station_name": "湖南白马站",
      "media_name": null,
      "media_no": null,
      "pay_type_name": null,
      "pay_amount": null,
      "amount": null,
      "disc_amount": null,
      "mileage": null,
      "min_fee": null,
      "en_axle_cnt": null,
      "ai_audit_info": null,
      "with_order": null,
      "operator_name": "吴军",
      "operator_time": "2026-04-25 10:17:17",
      "lable_code": "A01",
      "lable_name": "大车小标",
      "subjective": "2",
      "audit_remark": "经视频核实，该车实际为五轴，未欠费",
      "toll_fee": "0",
      "penalty_fee": "0",
      "evidence": null,
      "ex_vehicle_type_name": "三型货车",
      "loss_amount": "8994",
      "vehicleClass": "27",
      "vehicleClassName": "货车列车或半挂汽车列车",
      "enVehicleType": "15",
      "exVehicleType": "15",
      "enStationNo": "S0040430010010",
      "exStationNo": "G0055430030190",
      "shouldPay": 25010,
      "discountType": "ETC",
      "change_content": null
    },
    "enData": {
      "plateNumber": null,
      "plateColor": "5",
      "mediaTypeName": "OBU",
      "enStationName": "湖南学士站",
      "enVehicleTypeName": "三型货车",
      "enVehicleClassName": "拖挂车",
      "vehicleTypeName": null,
      "vehicleClassName": null,
      "plateColorCode": null,
      "entime": "2026-04-22 01:20:16",
      "vehicleid": "湘A91230D_黄绿双拼色",
      "mediatype": 1,
      "vehicletype": 13,
      "vehicleclass": 27,
      "enaxlecount": 5,
      "stationid": 1,
      "entollstationid": "S0040430010010",
      "passid": "013701250523630026557320260422012016",
      "entolllaneid": "S00404300100102010200",
      "specialtype": null,
      "identifyvehicleid": "湘A91230D_5",
      "obuid": "3701015600251503",
      "cardid": "37012505236300265573",
      "operatorname": "袁小宁",
      "enweight": "38260",
      "electricalpercentage": -1,
      "cpunetid": "3701",
      "laneshiftno": "S0040430010010201020020260422000001",
      "transtype": "09",
      "obusign": "2",
      "squadid": 1,
      "transfee": 0,
      "signstatus": 1,
      "entolllanehex": "43015A0178",
      "hourbatchno": "2026042201",
      "addflag": 0,
      "vehiclesign": "0xff",
      "stationtimeflag": "2026-04-22 01:22:33",
      "entollstationhex": "43015A01",
      "operatorno": "04206173",
      "enlanetype": 3,
      "usertype": "27",
      "terminalno": "21430003B20B",
      "roadid": 3,
      "squaddate": "2026-04-22 00:00:00",
      "terminaltransno": "0012912F",
      "vehiclesignid": "S004043001001020102002026042201000020",
      "laneid": 120,
      "roadtimeflag": null,
      "tac": "4C1F55F4",
      "opcardno": "0836518448",
      "entollsquareid": "S00404300100102010",
      "entollnetroadid": "S004043",
      "cardboxno": null,
      "entollroadid": "S0040430010",
      "opselcetcode": null,
      "operationmedia": 1,
      "envehicleflag": 2,
      "lanetype": 3,
      "cpucardtype": "2",
      "id": "S004043001001020102002026042201320020",
      "OPERATORNAME": "袁小宁",
      "ENTOLLROADID": "S0040430010",
      "ELECTRICALPERCENTAGE": -1,
      "OPERATIONMEDIA": 1,
      "ENTOLLSTATIONHEX": "43015A01",
      "MEDIATYPE": 1,
      "ENTIME": "2026-04-22 01:20:16",
      "ENTOLLLANEID": "S00404300100102010200",
      "ENTOLLSTATIONID": "S0040430010010",
      "OPERATORNO": "04206173",
      "LANESHIFTNO": "S0040430010010201020020260422000001",
      "ENVEHICLEFLAG": 2,
      "OPCARDNO": "0836518448",
      "ENLANETYPE": 3,
      "ENAXLECOUNT": 5,
      "PASSID": "013701250523630026557320260422012016",
      "ENTOLLSQUAREID": "S00404300100102010",
      "ENWEIGHT": "38260",
      "ID": "S004043001001020102002026042201320020",
      "VEHICLECLASS": 27,
      "TRANSTYPE": "09",
      "ROADID": 3,
      "SQUADID": 1,
      "TRANSFEE": 0,
      "ENTOLLNETROADID": "S004043",
      "SIGNSTATUS": 1,
      "SQUADDATE": "2026-04-22 00:00:00",
      "CARDID": "37012505236300265573",
      "STATIONID": 1,
      "IDENTIFYVEHICLEID": "湘A91230D_5",
      "ENTOLLLANEHEX": "43015A0178",
      "LANEID": 120,
      "ADDFLAG": 0,
      "VEHICLESIGN": "0xff",
      "VEHICLEID": "湘A91230D_黄绿双拼色",
      "CARDBOXNO": null,
      "LANETYPE": 3,
      "VEHICLETYPE": 13,
      "OBUID": "3701015600251503",
      "CPUNETID": "3701",
      "OBUSIGN": "2",
      "HOURBATCHNO": "2026042201",
      "STATIONTIMEFLAG": "2026-04-22 01:22:33",
      "USERTYPE": "27",
      "TERMINALNO": "21430003B20B",
      "OPSELCETCODE": null,
      "TERMINALTRANSNO": "0012912F",
      "VEHICLESIGNID": "S004043001001020102002026042201000020",
      "CPUCARDTYPE": "2",
      "ROADTIMEFLAG": null,
      "TAC": "4C1F55F4",
      "SPECIALTYPE": null
    },
    "exData": {
      "plateNumber": "湘A91230D",
      "plateColor": "5",
      "mediaTypeName": "OBU",
      "enStationName": null,
      "vehicleTypeName": "五型货车",
      "vehicleClassName": "拖挂车",
      "enVehicleTypeName": null,
      "exVehicleTypeName": null,
      "enVehicleClassName": null,
      "exVehicleClassName": null,
      "exitFeeTypeName": "省中心在线服务计费",
      "splitProvinceList": [
        {
          "passId": null,
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "485A01",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S004043001000110",
          "tollintervalName": null,
          "payFee": 218,
          "feeVehicleType": null,
          "realFee": 207,
          "discountFee": 11,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "485A01",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S004043004000110",
          "tollintervalName": null,
          "payFee": 509,
          "feeVehicleType": null,
          "realFee": 484,
          "discountFee": 25,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "485A01",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S004043001000320",
          "tollintervalName": null,
          "payFee": 44,
          "feeVehicleType": null,
          "realFee": 42,
          "discountFee": 2,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S004043001000420010",
          "gantryName": "含浦互通立交-赤江互通立交1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.88428700",
          "lat": "28.13210100",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495A02",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S004043001000420",
          "tollintervalName": null,
          "payFee": 315,
          "feeVehicleType": null,
          "realFee": 299,
          "discountFee": 16,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001000420010",
          "gantryName": "赤江互通立交-道林站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.84171600",
          "lat": "28.12235800",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C03",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001000420",
          "tollintervalName": null,
          "payFee": 1860,
          "feeVehicleType": null,
          "realFee": 1767,
          "discountFee": 93,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001000420010",
          "gantryName": "赤江互通立交-道林站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.84171600",
          "lat": "28.12235800",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C03",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001000620",
          "tollintervalName": null,
          "payFee": 511,
          "feeVehicleType": null,
          "realFee": 485,
          "discountFee": 26,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001000820010",
          "gantryName": "道林站-花明楼站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.73043200",
          "lat": "28.06002100",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C06",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001000820",
          "tollintervalName": null,
          "payFee": 1693,
          "feeVehicleType": null,
          "realFee": 1608,
          "discountFee": 85,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001020010",
          "gantryName": "花明楼站-韶山北互通立交1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.64029500",
          "lat": "28.05007300",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C08",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001020",
          "tollintervalName": null,
          "payFee": 1238,
          "feeVehicleType": null,
          "realFee": 1176,
          "discountFee": 62,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001120010",
          "gantryName": "韶山北互通立交-金石站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.46461800",
          "lat": "27.99162300",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C09",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001120",
          "tollintervalName": null,
          "payFee": 2503,
          "feeVehicleType": null,
          "realFee": 2378,
          "discountFee": 125,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001320010",
          "gantryName": "金石站-灰汤站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.42510700",
          "lat": "27.98545200",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C0B",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001320",
          "tollintervalName": null,
          "payFee": 1613,
          "feeVehicleType": null,
          "realFee": 1532,
          "discountFee": 81,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001520010",
          "gantryName": "灰汤站-翻江站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.33345400",
          "lat": "27.96810400",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C0D",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001520",
          "tollintervalName": null,
          "payFee": 3458,
          "feeVehicleType": null,
          "realFee": 3285,
          "discountFee": 173,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001720010",
          "gantryName": "翻江站-岐山互通立交1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.13944000",
          "lat": "27.89813000",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C0F",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001720",
          "tollintervalName": null,
          "payFee": 168,
          "feeVehicleType": null,
          "realFee": 160,
          "discountFee": 8,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001001820010",
          "gantryName": "岐山互通立交-娄底站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.01392000",
          "lat": "27.85636800",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C10",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001001820",
          "tollintervalName": null,
          "payFee": 2737,
          "feeVehicleType": null,
          "realFee": 2600,
          "discountFee": 137,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001002020010",
          "gantryName": "娄底站-桥头河站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.98075600",
          "lat": "27.84659800",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C12",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001002020",
          "tollintervalName": null,
          "payFee": 2403,
          "feeVehicleType": null,
          "realFee": 2283,
          "discountFee": 120,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S005043001002220010",
          "gantryName": "桥头河站-龙塘互通立交1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.84389200",
          "lat": "27.80668000",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C14",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "S005043001002220",
          "tollintervalName": null,
          "payFee": 2070,
          "feeVehicleType": null,
          "realFee": 1967,
          "discountFee": 103,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "G005543003003820010",
          "gantryName": "龙塘互通立交-涟源东站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.71986100",
          "lat": "27.70660400",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "492108",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "G005543003003820",
          "tollintervalName": null,
          "payFee": 1444,
          "feeVehicleType": null,
          "realFee": 1372,
          "discountFee": 72,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "G005543003004020010",
          "gantryName": "涟源东站-涟源互通立交1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.72494700",
          "lat": "27.68142000",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "49210A",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "G005543003004020",
          "tollintervalName": null,
          "payFee": 727,
          "feeVehicleType": null,
          "realFee": 691,
          "discountFee": 36,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "G005543003004120010",
          "gantryName": "涟源互通立交-白马站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.69696300",
          "lat": "27.61040000",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "49210B",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "G005543003004120",
          "tollintervalName": null,
          "payFee": 1340,
          "feeVehicleType": null,
          "realFee": 1273,
          "discountFee": 67,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "G005543003004220010",
          "gantryName": "白马（出口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "111.68710300",
          "lat": "27.60036700",
          "gantryType": "4",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "49210C",
          "feeMileage": null,
          "matching": 1,
          "tollintervalid": "G005543003004220",
          "tollintervalName": null,
          "payFee": 159,
          "feeVehicleType": null,
          "realFee": 141,
          "discountFee": 18,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        }
      ],
      "enVehicleIdName": null,
      "exVehicleIdName": null,
      "identifyVehicleIdName": null,
      "vehicleColorName": null,
      "entime": "2026-04-22 01:20:16",
      "extime": "2026-04-22 03:21:38",
      "vehicleid": "湘A91230D_黄绿双拼色",
      "mediatype": 1,
      "extollstationname": "湖南白马站",
      "vehicletype": 15,
      "vehicleclass": 27,
      "enaxlecount": 5,
      "fee": 23750,
      "stationid": 5,
      "entollstationid": null,
      "extollstationid": "G0055430030190",
      "passid": "013701250523630026557320260422012016",
      "entolllaneid": "S00404300100102010200",
      "exitfeetype": 4,
      "specialtype": "89",
      "envehicleid": null,
      "envehicletype": null,
      "envehicleclass": null,
      "entollstationname": "湖南学士站",
      "exaxlecount": null,
      "axlecount": 5,
      "identifyvehicleid": "湘A91230D_5",
      "exvehicletype": null,
      "exvehicleid": null,
      "obuid": null,
      "cardid": "37012505236300265573",
      "operatorname": "谭莉",
      "enweight": 38260,
      "exweight": 42760,
      "payfee": 25010,
      "splitprovince": "",
      "exvehicleclass": null,
      "mediano": "3701015600251503",
      "totalamount": 23750,
      "electricalpercentage": null,
      "extollsquareid": "G00554300301902020",
      "cpunetid": "3701",
      "laneshiftno": "G0055430030190202020020260421000003",
      "obutotaldiscountamount": 23750,
      "cardtotalamount": 23750,
      "obutotalcount": null,
      "obuprovincefee": 23750,
      "transtype": "09",
      "extollnetroadid": "G005543",
      "roadtimeflagint": null,
      "obusign": 2,
      "squadid": 1,
      "transfee": 23750,
      "signstatus": null,
      "extolllaneid": "G00554300301902020200",
      "obuprovincepayfee": 25010,
      "provtranscount": 16,
      "entolllanehex": "43015A0178",
      "hourbatchno": "2026042203",
      "addflag": 0,
      "vehiclesign": "0xff",
      "exvehicleflag": 2,
      "shortfee": 25000,
      "provincecount": 1,
      "nocardcount": 0,
      "etctotalamount": 23750,
      "spcrateversion": "20260417001",
      "cpuvehicleplate": "湘A91230D_5",
      "provfee": 0,
      "actualfeeclass": null,
      "feeboardplay": null,
      "obuvehicleplate": "湘A91230D_5",
      "stationtimeflag": "2026-04-22 03:21:40",
      "entollstationhex": "43015A01",
      "operatorno": "04100723",
      "transpaytype": 1,
      "enlanetype": 1,
      "postbalance": 4291017872,
      "usertype": 27,
      "terminalno": "21430003B85E",
      "feemileage": 151963,
      "shortfeemileage": 151963,
      "roadid": 93,
      "totalcount": 16,
      "discountfee": 1260,
      "provincestarthex": "000000",
      "squaddate": "2026-04-22 00:00:00",
      "terminaltransno": "0000F4BE",
      "etccardtype": 2,
      "vehiclesignid": "G005543003019020202002026042203000001",
      "extollroadid": "G0055430030",
      "obutotalamount": 25010,
      "identification": 2,
      "laneid": 220,
      "roadtimeflag": null,
      "exlanetype": 3,
      "extollstationhex": "43012113",
      "tac": "A31D4790",
      "etccardmoney": 23750,
      "prebalance": 4291041622,
      "invoiceid": null,
      "imgfilename": null,
      "opcardno": "0945391334",
      "extolllanehex": null,
      "entollsquareid": null,
      "entollnetroadid": null,
      "paytype": null,
      "orderno": null,
      "cardboxno": null,
      "entollroadid": null,
      "algorithmidentifier": 2,
      "description": "湖南学士站站入至湖南白马站站出",
      "reduceserialno": null,
      "opselcetcode": null,
      "cardselcetcode": "5",
      "vehpassselcetcode": null,
      "multiprovince": null,
      "id": "G005543003019020202002026042203390001",
      "EXAXLECOUNT": null,
      "OPERATORNAME": "谭莉",
      "TOTALAMOUNT": 23750,
      "ELECTRICALPERCENTAGE": null,
      "OBUID": null,
      "ENTOLLLANEID": "S00404300100102010200",
      "EXTOLLSQUAREID": "G00554300301902020",
      "CPUNETID": "3701",
      "LANESHIFTNO": "G0055430030190202020020260421000003",
      "OBUTOTALDISCOUNTAMOUNT": 23750,
      "CARDTOTALAMOUNT": 23750,
      "ENTOLLSTATIONNAME": "湖南学士站",
      "OBUTOTALCOUNT": null,
      "OBUPROVINCEFEE": 23750,
      "EXTOLLNETROADID": "G005543",
      "EXTOLLSTATIONNAME": "湖南白马站",
      "ID": "G005543003019020202002026042203390001",
      "VEHICLECLASS": 27,
      "ROADTIMEFLAGINT": null,
      "TRANSTYPE": "09",
      "OBUSIGN": 2,
      "SQUADID": 1,
      "PAYFEE": 25010,
      "TRANSFEE": 23750,
      "SIGNSTATUS": null,
      "CARDID": "37012505236300265573",
      "STATIONID": 5,
      "EXTOLLLANEID": "G00554300301902020200",
      "OBUPROVINCEPAYFEE": 25010,
      "PROVTRANSCOUNT": 16,
      "ENTOLLLANEHEX": "43015A0178",
      "EXITFEETYPE": 4,
      "HOURBATCHNO": "2026042203",
      "ADDFLAG": 0,
      "VEHICLESIGN": "0xff",
      "EXVEHICLEFLAG": 2,
      "SHORTFEE": 25000,
      "PROVINCECOUNT": 1,
      "NOCARDCOUNT": 0,
      "ETCTOTALAMOUNT": 23750,
      "SPCRATEVERSION": "20260417001",
